amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
6832,6832,4.57,genre fiction,34160,Katherine Tegen Books,20496,4.88,1,HarperCollins Publishers,9604,big five,7000
2487.5,2487.5,4.47,genre fiction,12437.5,HarperCollins e-books,7462.5,1.99,2,HarperCollins Publishers,450,big five,6250
8250,8250,3.84,fiction,41250,"Little, Brown and Company",24750,7.5,3,Hachette Book Group,3747,big five,5500
7590.5,7590.5,4.75,genre fiction,37952.5,Dutton Children's,22771.5,7.99,4,Penguin Group (USA) LLC,9174,big five,4750
5498.334,5498.334,3.16,genre fiction,27491.67,Katherine Tegen Books,16495.002,6.99,6,HarperCollins Publishers,7026,big five,3933
5236.4,5236.4,4.31,nonfiction,26182,Center Street,15709.2,6.89,8,Hachette Book Group,369,big five,3800
5218.734,5218.734,4.58,genre fiction,26093.67,Katherine Tegen Books,15656.202,6.99,9,HarperCollins Publishers,5926,big five,3733
4758.468,4758.468,4.52,genre fiction,23792.34,Doubleday,14275.404,6.49,10,Random House LLC,7132,big five,3666
4312.8,4312.8,4.31,fiction,21564,Putnam Adult,12938.4,5.99,11,Penguin Group (USA) LLC,5113,big five,3600
1379.468,1379.468,4.59,genre fiction,6897.34,William Morrow Paperbacks,4138.404,1.99,13,HarperCollins Publishers,2508,big five,3466
4359.564,4359.564,4.64,genre fiction,21797.82,Knopf Books for Young Readers,13078.692,6.54,15,Random House LLC,7953,big five,3333
1246.934,1246.934,4.49,genre fiction,6234.67,Simon & Schuster,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,1734,big five,3133
5380.812,5380.812,4.4,genre fiction,26904.06,Viking Adult,16142.436,10.91,28,Penguin Group (USA) LLC,701,big five,2466
1915.2,1915.2,4.63,nonfiction,9576,"Little, Brown and Company",5745.6,3.99,29,Hachette Book Group,5369,big five,2400
2635.6,2635.6,4.19,genre fiction,13178,William Morrow,7906.8,5.99,32,HarperCollins Publishers,308,big five,2200
409.068,409.068,4.62,nonfiction,2045.34,HarperPerennial Classics,1227.204,0.99,34,HarperCollins Publishers,1490,big five,2066
3596,3596,3.77,genre fiction,17980,Crown,10788,8.99,35,Random House LLC,16062,big five,2000
4061.91,4061.91,4.31,genre fiction,20309.55,Random House,12185.73,10.65,41,Random House LLC,66,big five,1907
2211.508,2211.508,4.02,genre fiction,11057.54,HarperCollins e-books,6634.524,5.99,45,HarperCollins Publishers,104,big five,1846
2119.262,2119.262,4.28,genre fiction,10596.31,Putnam Adult,6357.786,5.99,50,Penguin Group (USA) LLC,1364,big five,1769
3011.654,3011.654,4.56,genre fiction,15058.27,"Little, Brown and Company",9034.962,8.59,51,Hachette Book Group,157,big five,1753
341.154,341.154,4.21,genre fiction,1705.77,Loveswept,1023.462,0.99,53,Random House LLC,41,big five,1723
335.016,335.016,4.59,genre fiction,1675.08,Entangled: Brazen,1005.048,0.99,55,Macmillan,114,big five,1692
993.278,993.278,4.26,genre fiction,4966.39,Berkley,2979.834,2.99,57,Penguin Group (USA) LLC,2028,big five,1661
3556.66,3556.66,4.44,genre fiction,17783.3,Dutton Adult,10669.98,10.91,59,Penguin Group (USA) LLC,354,big five,1630
3678.97,3678.97,4.45,genre fiction,18394.85,"Little, Brown and Company",11036.91,11.39,60,Hachette Book Group,1603,big five,1615
2076.8,2076.8,4,genre fiction,10384,Bantam,6230.4,6.49,61,Random House LLC,2659,big five,1600
2682.616,2682.616,4.32,genre fiction,13413.08,Grand Central Publishing,8047.848,8.99,68,Hachette Book Group,1402,big five,1492
2310.708,2310.708,3.55,genre fiction,11553.54,Berkley,6932.124,7.99,71,Penguin Group (USA) LLC,45,big five,1446
1978.17,1978.17,4.66,genre fiction,9890.85,Penguin Books,5934.51,6.99,73,Penguin Group (USA) LLC,2851,big five,1415
1049.072,1049.072,4.33,genre fiction,5245.36,Forever,3147.216,3.79,75,Hachette Book Group,116,big five,1384
544.862,544.862,4.61,genre fiction,2724.31,Grand Central Publishing,1634.586,1.99,76,Hachette Book Group,18,big five,1369
1092.462,1092.462,4.53,genre fiction,5462.31,Forever,3277.386,3.99,76,Hachette Book Group,145,big five,1369
1186.756,1186.756,4.62,genre fiction,5933.78,William Morrow Paperbacks,3560.268,4.54,80,HarperCollins Publishers,78,big five,1307
1696.486,1696.486,4.57,genre fiction,8482.43,Grand Central Publishing,5089.458,6.49,80,Hachette Book Group,3156,big five,1307
1289.416,1289.416,3.38,genre fiction,6447.08,Vintage,3868.248,4.99,81,Random House LLC,23362,big five,1292
507.848,507.848,4.65,nonfiction,2539.24,HarperCollins e-books,1523.544,1.99,82,HarperCollins Publishers,140,big five,1276
483.57,483.57,4.03,genre fiction,2417.85,HarperCollins e-books,1450.71,1.99,86,HarperCollins Publishers,637,big five,1215
471.232,471.232,4.41,genre fiction,2356.16,St. Martin's Press,1413.696,1.99,88,Macmillan,882,big five,1184
440.586,440.586,4.06,genre fiction,2202.93,St. Martin's Press,1321.758,1.99,93,Macmillan,1060,big five,1107
1396.648,1396.648,3.91,genre fiction,6983.24,Doubleday,4189.944,6.49,95,Random House LLC,13060,big five,1076
1377.178,1377.178,4.16,genre fiction,6885.89,Bantam,4131.534,6.49,96,Random House LLC,1223,big five,1061
1386.49,1386.49,4.45,genre fiction,6932.45,Razorbill,4159.47,6.83,99,Penguin Group (USA) LLC,722,big five,1015
1013.76,1013.76,4.73,genre fiction,5068.8,Berkley,3041.28,5.12,102,Penguin Group (USA) LLC,288,big five,990
1462.5,1462.5,3.6,genre fiction,7312.5,"Little, Brown and Company",4387.5,7.5,105,Hachette Book Group,2062,big five,975
2044.8,2044.8,4.58,genre fiction,10224,Berkley,6134.4,10.65,108,Penguin Group (USA) LLC,36,big five,960
1534.08,1534.08,0,genre fiction,7670.4,Berkley,4602.24,7.99,108,Penguin Group (USA) LLC,0,big five,960
938.12,938.12,4.37,genre fiction,4690.6,St. Martin's Press,2814.36,4.99,112,Macmillan,901,big five,940
746.13,746.13,4,genre fiction,3730.65,InterMix,2238.39,3.99,113,Penguin Group (USA) LLC,208,big five,935
181.17,181.17,4.33,genre fiction,905.85,Loveswept,543.51,0.99,117,Random House LLC,24,big five,915
1168.2,1168.2,4.32,nonfiction,5841,Henry Holt and Co.,3504.6,6.49,120,Macmillan,4549,big five,900
2146.21,2146.21,4.24,nonfiction,10731.05,Knopf,6438.63,11.99,121,Random House LLC,384,big five,895
354.22,354.22,4.23,fiction,1771.1,HarperCollins e-books,1062.66,1.99,122,HarperCollins Publishers,152,big five,890
1305,1305,4.58,genre fiction,6525,Scribner,3915,7.5,126,Simon and Schuster Digital Sales Inc,4938,big five,870
1374.28,1374.28,4.29,genre fiction,6871.4,Vintage,4122.84,7.99,128,Random House LLC,9263,big five,860
2026.31,2026.31,4.34,genre fiction,10131.55,"Little, Brown and Company",6078.93,11.99,131,Hachette Book Group,20,big five,845
1342.32,1342.32,4.28,genre fiction,6711.6,Vintage,4026.96,7.99,132,Random House LLC,9263,big five,840
328.35,328.35,4.31,nonfiction,1641.75,Harper,985.05,1.99,135,HarperCollins Publishers,271,big five,825
1139.37,1139.37,4.77,nonfiction,5696.85,Random House,3418.11,6.99,137,Random House LLC,6544,big five,815
1714.65,1714.65,4.16,genre fiction,8573.25,Putnam Adult,5143.95,10.65,139,Penguin Group (USA) LLC,251,big five,805
1882.43,1882.43,0,genre fiction,9412.15,Putnam Adult,5647.29,11.99,143,Penguin Group (USA) LLC,0,big five,785
1653.85,1653.85,0,genre fiction,8269.25,Margaret K. McElderry Books,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,0,big five,775
302.48,302.48,4.04,genre fiction,1512.4,HarperCollins e-books,907.44,1.99,148,HarperCollins Publishers,305,big five,760
743.51,743.51,4.14,genre fiction,3717.55,Dell,2230.53,4.99,151,Random House LLC,6312,big five,745
590.52,590.52,4.56,genre fiction,2952.6,Tor Books,1771.56,3.99,152,Macmillan,7381,big five,740
1088.95,1088.95,4.17,genre fiction,5444.75,Broadway Books,3266.85,7.51,155,Random House LLC,1998,big five,725
1118.6,1118.6,3.6,genre fiction,5593,Reagan Arthur Books,3355.8,7.99,160,Hachette Book Group,1783,big five,700
270.64,270.64,4.34,genre fiction,1353.2,HarperCollins e-books,811.92,1.99,164,HarperCollins Publishers,102,big five,680
1562.88,1562.88,0,genre fiction,7814.4,Ballantine Books,4688.64,11.84,168,Random House LLC,0,big five,660
1963.69,1963.69,4.3,genre fiction,9818.45,Vintage,5891.07,14.99,169,Random House LLC,8339,big five,655
894.72,894.72,4.24,genre fiction,4473.6,Delacorte Press,2684.16,6.99,172,Random House LLC,3806,big five,640
1132.74,1132.74,4.41,genre fiction,5663.7,Scribner,3398.22,8.99,174,Simon and Schuster Digital Sales Inc,5195,big five,630
712.81,712.81,4.94,genre fiction,3564.05,Berkley,2138.43,5.99,181,Penguin Group (USA) LLC,116,big five,595
1040.13,1040.13,4.89,genre fiction,5200.65,Feiwel & Friends,3120.39,8.89,183,Macmillan,37,big five,585
886.89,886.89,4.15,genre fiction,4434.45,Riverhead,2660.67,7.99,189,Penguin Group (USA) LLC,5042,big five,555
319.93,319.93,4.46,nonfiction,1599.65,Broadway Books,959.79,2.99,193,Random House LLC,1980,big five,535
104.94,104.94,4.5,genre fiction,524.7,Entangled: Brazen,314.82,0.99,194,Macmillan,100,big five,530
1086.636,1086.636,4.41,genre fiction,5433.18,Viking Adult,3259.908,10.91,201,Penguin Group (USA) LLC,702,big five,498
590.182,590.182,4.47,genre fiction,2950.91,Avon,1770.546,6.01,205,HarperCollins Publishers,153,big five,491
489.02,489.02,4.38,genre fiction,2445.1,Grand Central Publishing,1467.06,4.99,206,Hachette Book Group,3083,big five,490
521.184,521.184,4.47,fiction,2605.92,Speak,1563.552,5.34,207,Penguin Group (USA) LLC,1264,big five,488
1053.906,1053.906,4.33,genre fiction,5269.53,Putnam Adult,3161.718,10.91,210,Penguin Group (USA) LLC,165,big five,483
411.516,411.516,0,nonfiction,2057.58,Zondervan,1234.548,4.26,210,HarperCollins Publishing,0,big five,483
