text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location
"With more #GunViolence taking place in our daily lives, should we be re-thinking our approach to buying toy guns fo… https://t.co/mPNl7MU587",FALSE,2,NA,3/20/2018 23:59,TRUE,NA,9.76E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",GIT_mom,0,FALSE,FALSE,NA,NA,Chicago
"RT @meganranney: Over the past 2 days, hundreds of doctors have shared heartbreaking accounts of how #gunviolence is a #publichealth issue.…",FALSE,0,NA,3/20/2018 23:57,FALSE,NA,9.76E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iyang896,617,TRUE,FALSE,NA,NA,"Winnipeg, Manitoba"
"@OfficialJonZal My thoughts and prayers are with the #PoliceOfficer who had to kill a child, may he find peace, and… https://t.co/cbuuW8fvDc",FALSE,0,OfficialJonZal,3/20/2018 23:53,TRUE,9.76E+17,9.76E+17,7.99E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TPadvaiskas,0,FALSE,FALSE,NA,NA,"Boston, Ma"
"RT @meganranney: #domesticviolence plays an undeniable, recurrent role in the genesis of #gunviolence
 https://t.co/2nNWKjOeVM #docs4gunsen…",FALSE,0,NA,3/20/2018 23:48,FALSE,NA,9.76E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PolicyRx,3,TRUE,FALSE,NA,NA,United States of America
RT @eyesonmyworld: So proud of my friend @Javierfor114 who will be a wonderful #FLStateRep. He's taken a stand on #GunViolence #publictrans…,FALSE,0,NA,3/20/2018 23:48,FALSE,NA,9.76E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DowntownDems,9,TRUE,FALSE,NA,NA,Downtown Miami
"RT @LucyWins2018: Happy #FirstDayofSpring <ed><U+00A0><U+00BC><ed><U+00BC><U+00B7>
I'm honored to announce my campaign has been noted as a
Gun Sense Candidate of Distinction by @…",FALSE,0,NA,3/20/2018 23:47,FALSE,NA,9.76E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",HawaiiShira,251,TRUE,FALSE,NA,NA,"Naalehu, Hawaii (Big Island)"
"RT @LucyWins2018: Happy #FirstDayofSpring <ed><U+00A0><U+00BC><ed><U+00BC><U+00B7>
I'm honored to announce my campaign has been noted as a
Gun Sense Candidate of Distinction by @…",FALSE,0,NA,3/20/2018 23:47,FALSE,NA,9.76E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",emmaline1221,251,TRUE,FALSE,NA,NA,"Alabama, USA"
"RT @LucyWins2018: Happy #FirstDayofSpring <ed><U+00A0><U+00BC><ed><U+00BC><U+00B7>
I'm honored to announce my campaign has been noted as a
Gun Sense Candidate of Distinction by @…",FALSE,0,NA,3/20/2018 23:45,FALSE,NA,9.76E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ohohyeah,251,TRUE,FALSE,NA,NA,midwest
".@NRA @DLoesch Can't spin this, but you'll try. #NotOneMore #NeverAgain #Enough #gunviolence #GunReformNow https://t.co/0uePQGVWg6",FALSE,1,NA,3/20/2018 23:42,FALSE,NA,9.76E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",pop_lynne,0,FALSE,FALSE,NA,NA,"Littleton, CO"
"RT @LucyWins2018: Happy #FirstDayofSpring <ed><U+00A0><U+00BC><ed><U+00BC><U+00B7>
I'm honored to announce my campaign has been noted as a
Gun Sense Candidate of Distinction by @…",FALSE,0,NA,3/20/2018 23:41,FALSE,NA,9.76E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RudyRom14462234,251,TRUE,FALSE,NA,NA,"Colorado, USA"
