"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"It's Time To Stand Up To 

@realDonaldTrump
@NRA
@DLoesch 
@GOP

&amp;EVERY Person Who Can Do Something To End… https://t.co/5dT1v7EIaB",FALSE,176,NA,"2018-03-24 23:59:41",TRUE,NA,977696484262141952,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dax_x98",117,FALSE,FALSE,NA,NA,"Thomaston, GA"
"RT @shaikh_mf: #LetsGetThisDamnThingDone! @TheScottCharles reminding us this #GunViolence is not a new problem. #PhillyTrauma @TempleSurger…",FALSE,0,NA,"2018-03-24 23:59:41",FALSE,NA,977696484232658944,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drexel_surgery",6,TRUE,FALSE,NA,NA,"Philadelphia, PA Broad&Vine"
"RT @JerritaFox13: It was a strong showing by the young (and older)...who are saying ‘enough is enough’ concerning #GunViolence More @FOX13M…",FALSE,0,NA,"2018-03-24 23:59:30",FALSE,NA,977696439085264896,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JonathanB_ailey",10,TRUE,FALSE,NA,NA,"Memphis, TN"
"RT @Nataliew1020: I think of my brother today. He was murdered almost 14 yrs ago, on 4/20/04.
Two weeks after his 20th birthday. #GunViolen…",FALSE,0,NA,"2018-03-24 23:59:29",FALSE,NA,977696436518141952,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","OpalsWind",313,TRUE,FALSE,NA,NA,"Washington State, USA"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:59:01",FALSE,NA,977696317467234304,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","_strate",1993,TRUE,FALSE,NA,NA,"Coon Rapids, MN"
"RT @APAPubPsychSvcs: Providers must be careful when patients seeking treatment for self-inflicted gunshot wounds deny attempting #suicide.…",FALSE,0,NA,"2018-03-24 23:58:54",FALSE,NA,977696286215417856,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lisabetoby",1,TRUE,FALSE,NA,NA,""
"RT @kharyp: ""By a raise of hands, if you have been affected by #GunViolence, please raise your hand to honor of those you've lost"" 

We mar…",FALSE,0,NA,"2018-03-24 23:58:47",FALSE,NA,977696257584988160,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","petrichor888",183,TRUE,FALSE,NA,NA,""
"RT @FCNL: Since Columbine, nearly 200,000 young people have been exposed to #GunViolence at school. That is disgraceful. Congress has faile…",FALSE,0,NA,"2018-03-24 23:58:45",FALSE,NA,977696252383997952,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeezerHead",13,TRUE,FALSE,NA,NA,"American Splendor, planet Ocean"
"RT @RantsOutloud: Weird. I thought #GunControl solved all of this. Who’d have thunk...

#GunContolNow #GunCrazy #GUNviolence  https://t.co/…",FALSE,0,NA,"2018-03-24 23:58:27",FALSE,NA,977696173904617472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DonnaCastel",77,TRUE,FALSE,NA,NA,"Milford, OH"
"RT @MindfulMajority: I'm joining the #MarchForOurLives in #Denver because, American, we need an intervention about our #GunViolence epidemi…",FALSE,0,NA,"2018-03-24 23:58:25",FALSE,NA,977696166396624896,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1whoknu",19,TRUE,FALSE,NA,NA,"You know where"
"RT @nyupublichealth: States that require background checks on handgun sales see 47% fewer suicides by gun. #GunViolence is a #PublicHealth…",FALSE,0,NA,"2018-03-24 23:58:11",FALSE,NA,977696106380447744,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LGostin",8,TRUE,FALSE,NA,NA,"Washington, DC"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:58:02",FALSE,NA,977696068514140160,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SheriSpain",1993,TRUE,FALSE,NA,NA,"Sarasota, FL"
"RT @transunitedfund: We at @transunitedfund were proud to join #MarchForOurLives today, standing up for every life lost to #gunviolence. Th…",FALSE,0,NA,"2018-03-24 23:57:53",FALSE,NA,977696032611094528,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jenbiensur",8,TRUE,FALSE,NA,NA,"New York"
"RT @KristenZambo: 'These are children’s lives. We matter’ https://t.co/SvMTx4yYIP #MarchForOurLives #StudentsStandUp #StudentsDemandAction…",FALSE,0,NA,"2018-03-24 23:57:45",FALSE,NA,977695998574292992,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","scottpyates",1,TRUE,FALSE,NA,NA,"Rockford, IL"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:57:21",FALSE,NA,977695899425046528,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MissEmi64581640",1993,TRUE,FALSE,NA,NA,"Ohio, USA"
"Teens lead the @AMarch4OurLives event in Oklahoma City. #MarchForOurLives #newsphoto #OklahomaCapitol… https://t.co/84wXzL5W0C",FALSE,3,NA,"2018-03-24 23:56:59",TRUE,NA,977695804323348480,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mdeandphoto",1,FALSE,FALSE,NA,NA,"Norman, OK"
"@DrEricBall @AmerAcadPeds @OCAAP @AAPPres @HelHathNoFury #GunViolence IS a #PublicHealth crisis! Thanks for showing… https://t.co/Ze9WucJVns",FALSE,7,"DrEricBall","2018-03-24 23:56:33",TRUE,977646425180815360,977695698308263936,3010738968,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CkyBecky",2,FALSE,FALSE,NA,NA,"Hamilton, OH"
