text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location
"RT @LATiffani1: Hilarious take on Liberal stupidity. 
#GunControl 
#MarchForOurLives https://t.co/axOCTHnJ6x",FALSE,0,NA,3/26/2018 23:59,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DarkmanReturns,408,TRUE,FALSE,NA,NA,
"RT @LATiffani1: Hilarious take on Liberal stupidity. 
#GunControl 
#MarchForOurLives https://t.co/axOCTHnJ6x",FALSE,0,NA,3/26/2018 23:59,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mancan99,408,TRUE,FALSE,NA,NA,
RT @DemitriDawson: Rick Santorum suggesting that kids learn CPR instead of fighting to get #GunControl legislation passed makes me wonder h…,FALSE,0,NA,3/26/2018 23:59,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheRedNightBird,2125,TRUE,FALSE,NA,NA,North America
Tonight @SusanHermanACLU president of @ACLU talks about the nuances of #FreeSpeech #GunControl &amp; connecting the dot… https://t.co/dDeokp3Xcb,FALSE,2,NA,3/26/2018 23:59,TRUE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",J_Nunz4,0,FALSE,FALSE,NA,NA,"New York, NY "
RT @DemitriDawson: Rick Santorum suggesting that kids learn CPR instead of fighting to get #GunControl legislation passed makes me wonder h…,FALSE,0,NA,3/26/2018 23:59,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",susan63301,2125,TRUE,FALSE,NA,NA,9 cities in 7 states
"RT @LATiffani1: Hilarious take on Liberal stupidity. 
#GunControl 
#MarchForOurLives https://t.co/axOCTHnJ6x",FALSE,0,NA,3/26/2018 23:58,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DeeDambrosia,408,TRUE,FALSE,NA,NA,
RT @DemitriDawson: Rick Santorum suggesting that kids learn CPR instead of fighting to get #GunControl legislation passed makes me wonder h…,FALSE,0,NA,3/26/2018 23:58,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",macmommamary,2125,TRUE,FALSE,NA,NA,New York
"RT @Loca2733Mc: Its not just the Blue States that want
#GunControl
Everyone has had enough of the deaths caused by AR-15.

Only way to make…",FALSE,0,NA,3/26/2018 23:58,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jamescando,71,TRUE,FALSE,NA,NA,"Salem, Oregon"
#GunControl always preceded #Genocide. https://t.co/1LtBvYEpif,FALSE,0,NA,3/26/2018 23:57,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JerryAvalos7,0,FALSE,FALSE,NA,NA,"California, USA"
RT @BenhamBrothers: In today’s #GunControl debate we can’t forget the hand that holds the gun and the heart that controls the hand. Jesus s…,FALSE,0,NA,3/26/2018 23:57,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HollyBorden1,65,TRUE,FALSE,NA,NA,
"RT @MontyBoa99: There is a small number of fake militias who have extremist conspiracy theory views about ""globalism"" and the ""deep state"",…",FALSE,0,NA,3/26/2018 23:57,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",rsm3919,4,TRUE,FALSE,NA,NA,
"RT @Imamofpeace: Dear @davidhogg111, you’re clearly talking to the wrong crowd about #guncontrol. You should be talking to Hillary and Obam…",FALSE,0,NA,3/26/2018 23:57,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MatthewDahlen,4849,TRUE,FALSE,NA,NA,"Edmond, OK"
RT @Jali_Cat: Praying to GOD ABOVE you are fully exposed in THIS lifetime for the criminal you are and your dirty rotten hidden deeds again…,FALSE,0,NA,3/26/2018 23:56,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sophia96235544,709,TRUE,FALSE,NA,NA,
"RT @LATiffani1: Hilarious take on Liberal stupidity. 
#GunControl 
#MarchForOurLives https://t.co/axOCTHnJ6x",FALSE,0,NA,3/26/2018 23:56,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",b_rgb,408,TRUE,FALSE,NA,NA,ohio
"RT @PeoplesWorld: How gun control worked in the old East Germany
#guncontrol #news #politics #international https://t.co/ysLNaUC27A",FALSE,0,NA,3/26/2018 23:56,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",william_hirsch1,1,TRUE,FALSE,NA,NA,"Chuo-ku, Tokyo"
RT @DemitriDawson: Rick Santorum suggesting that kids learn CPR instead of fighting to get #GunControl legislation passed makes me wonder h…,FALSE,0,NA,3/26/2018 23:56,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JustEileen1,2125,TRUE,FALSE,NA,NA,
RT @SVakhshouri: It seams President #Trump really listenes to #Saudi Crown Prince #MohammedBinSalman. He did his best that MBS’s wishes com…,FALSE,0,NA,3/26/2018 23:56,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",marketlama,1,TRUE,FALSE,NA,NA,
"The kids that marched at #MarchForOurLives &amp; for #GunControl are too young to know what they're talking about, 
but… https://t.co/nXVz7mG2LF",FALSE,1,NA,3/26/2018 23:55,TRUE,NA,9.78E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PayingAttn2018,0,FALSE,FALSE,NA,NA,USA
"RT @Loca2733Mc: Its not just the Blue States that want
#GunControl
Everyone has had enough of the deaths caused by AR-15.

Only way to make…",FALSE,0,NA,3/26/2018 23:55,FALSE,NA,9.78E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kentuckygrandma,71,TRUE,FALSE,NA,NA,"My Town, Kentucky"
