text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location
"@orlandosentinel Now that you mention it.

#NeverForget #ParklandSurvivor
#AnthonyBorges, #StonemanDouglas student… https://t.co/d7m6DhHMfF",FALSE,0,orlandosentinel,3/28/2018 23:59,TRUE,9.79E+17,9.79E+17,1429761,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tripinfool,0,FALSE,FALSE,NA,NA,"Hell, Michigan"
"RT @RNRFlorida: I just signed the petition, “Pam Bondi: Recall Broward County Sheriff Israel.” I think this is important. Will you sign it…",FALSE,0,NA,3/28/2018 23:51,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Alexs1776,66,TRUE,FALSE,NA,NA,"Miami, FL"
"Mayfield also acknowledging this is only beginning of process, and more to be done, especially with mental health f… https://t.co/WCgm8b4ZTL",FALSE,0,NA,3/28/2018 23:50,TRUE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EricRogersFT,0,FALSE,FALSE,NA,NA,"Cocoa, FL"
RT @joncoopertweets: A House Ethics Complaint was filed by @TheDemCoalition against Congressman Steve King for his attacks on #ParklandShoo…,FALSE,0,NA,3/28/2018 23:50,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Gdyup,309,TRUE,FALSE,NA,NA,"Plymouth, Wisconsin"
"Mayfield: Thank you for acknowledging us for showing up. If we weren't here and something else happened, you all wo… https://t.co/XLAWXBOCzt",FALSE,0,NA,3/28/2018 23:49,TRUE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EricRogersFT,0,FALSE,FALSE,NA,NA,"Cocoa, FL"
"RT @Truth2point0: For those that doubted me when I labeled #ParklandShooting as a False Flag... Thank you @POTUS for #2A reassurance
#QAnon…",FALSE,0,NA,3/28/2018 23:49,FALSE,NA,9.79E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",Internatlgmr1,22,TRUE,FALSE,NA,NA,"Tucson,Az. "
"Audience comment: (To legislators on panel) We may not agree on everything, but you all have shown a lot of guts by… https://t.co/Cw0I03GxGS",FALSE,1,NA,3/28/2018 23:47,TRUE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EricRogersFT,0,FALSE,FALSE,NA,NA,"Cocoa, FL"
"RT @EricRogersFT: Altman: I think we can do better (than this bill). We still have work to do, and we take your concerns seriously. #321sch…",FALSE,0,NA,3/28/2018 23:47,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",skipbutterfly,1,TRUE,FALSE,NA,NA,Brevard Public Schools
"Altman: I think we can do better (than this bill). We still have work to do, and we take your concerns seriously.… https://t.co/qnS19IHHHM",FALSE,1,NA,3/28/2018 23:46,TRUE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EricRogersFT,1,FALSE,FALSE,NA,NA,"Cocoa, FL"
"RT @_The_Watchers_: #QAnon #GreatAwakening #MAGA #IBOR #InternetBillOfRights #EndTheFed #DrainTheSwamp #Defend2A @POTUS @realDonaldTrump

#…",FALSE,0,NA,3/28/2018 23:45,FALSE,NA,9.79E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",Internatlgmr1,78,TRUE,FALSE,NA,NA,"Tucson,Az. "
