"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"Do these young ladies realize just how stupid their signs really are? Banning  guns like drugs? LOL 
#gunsense… https://t.co/61GpcKZdIO",FALSE,21,NA,"3/23/2018 23:57",TRUE,NA,9.77334e+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","downrangewithcw",9,FALSE,FALSE,NA,NA,"Florida, USA"
"#Rockford woman sentenced to jail time, probation for role in deadly shooting https://t.co/uImbIPY3mg… https://t.co/SwckSSgHXj",FALSE,0,NA,"3/23/2018 23:53",TRUE,NA,9.77333e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KristenZambo",0,FALSE,FALSE,NA,NA,"Illinois, USA"
"Grand jury to meet next month in cases stemming from deaths of Danielle Son, Sergio Cruz https://t.co/QwZoCnThMX… https://t.co/S6N6CMEbp1",FALSE,0,NA,"3/23/2018 23:51",TRUE,NA,9.77332e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KristenZambo",0,FALSE,FALSE,NA,NA,"Illinois, USA"
"RT @ncrainbowgrrl: I have created a slideshow of some of the best tweets and moments on #gunviolence. #SurvivorStrong #MarchForOurLives #na…",FALSE,0,NA,"3/23/2018 23:50",FALSE,NA,9.77332e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StacyLeMelle",3,TRUE,FALSE,NA,NA,"NYC"
"RT @CanonForIndiana: Finally- we’re @verified! More things we can verify? Dan will work for ALL Hoosiers &amp; will fight for #Medicare4all, #F…",FALSE,0,NA,"3/23/2018 23:49",FALSE,NA,9.77332e+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jdfdownthelane",8,TRUE,FALSE,NA,NA,"Rustbelt City"
"RT @BerniceKing: #Enough

In honor of all whose lives have been shattered by bullets in schools, nightclubs, streets...on a motel balcony.…",FALSE,0,NA,"3/23/2018 23:48",FALSE,NA,9.77331e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamieWolgast",321,TRUE,FALSE,NA,NA,"AZ"
"RT @gigg1e_s: #whyIMarch children in underprivileged areas of society deal with the fear of #GUNviolence everyday and #EnoughIsEnough",FALSE,0,NA,"3/23/2018 23:48",FALSE,NA,9.77331e+17,NA,"<a href=""http://www.example.com"" rel=""nofollow"">WhyIMarch Campaign</a>","WhyIMarch",1,TRUE,FALSE,NA,NA,"Everywhere"
"#whyIMarch children in underprivileged areas of society deal with the fear of #GUNviolence everyday and #EnoughIsEnough",FALSE,2,NA,"3/23/2018 23:44",FALSE,NA,9.7733e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gigg1e_s",1,FALSE,FALSE,NA,NA,"Florida, USA"
"RT @CSGV: .@jeffswansonduke from @DukeU discusses risk-based firearm removal laws, like #ERPO and the reasons we need them. #gunviolence ht…",FALSE,0,NA,"3/23/2018 23:44",FALSE,NA,9.7733e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jeffswansonduke",3,TRUE,FALSE,NA,NA,"Chapel Hill, NC"
"@staceynewman @WUSTL What a pleasure to meet you and learn more about your many years of commitment to reducing the… https://t.co/12jrMObdlZ",FALSE,7,"staceynewman","3/23/2018 23:39",TRUE,9.77316e+17,9.77329e+17,26533257,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurie_punch",1,FALSE,FALSE,NA,NA,"St Louis, MO"
