text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location
"RT @mmpadellan: Much as I hate to disagree with a former Supreme Court Justice, (libtard that I am), there's NO need to repeal the Second A…",FALSE,0,NA,3/28/2018 23:56,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CarolDHorn1,756,TRUE,FALSE,NA,NA,"Atlanta, GA"
Heartbreaking. And then to hear the gop go after these kids. All they want is for #school to be a safe space.… https://t.co/rvXCSkDJ0u,FALSE,1,NA,3/28/2018 23:52,TRUE,NA,9.79E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",nessafox,0,FALSE,FALSE,NA,NA,Chicago
"RT @Kelli_Rose: It’s been 6 weeks today since the #MSDShooting. 6 weeks of #ThoughtsAndPrayers

Congress has responded immediately to ALL o…",FALSE,0,NA,3/28/2018 23:49,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",bes29,80,TRUE,FALSE,NA,NA,usa
Caller: Why can't people sympathize with children who lost their friends? Children who saw their friends die. #gunreform #protests,FALSE,0,NA,3/28/2018 23:46,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Arightside,0,FALSE,FALSE,NA,NA,Washington D.C.
"RT @SenFeinstein: I’m thankful for the opportunity yesterday to sit down with survivors, advocates and City Attorney Feur, who leads Prosec…",FALSE,0,NA,3/28/2018 23:43,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MCMalhotra,121,TRUE,FALSE,NA,NA,"La Cañada, CA"
"RT @SenFeinstein: I’m thankful for the opportunity yesterday to sit down with survivors, advocates and City Attorney Feur, who leads Prosec…",FALSE,0,NA,3/28/2018 23:43,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",stargazer1951,121,TRUE,FALSE,NA,NA,
Caller: Why hold back the many for the actions of very few? #gunreform,FALSE,0,NA,3/28/2018 23:42,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Arightside,0,FALSE,FALSE,NA,NA,Washington D.C.
"RT @TopherSpiro: These are the 23 most vulnerable House Republicans (R+3 or less) who have an ""A"" rating from the NRA. Vote them out. #Marc…",FALSE,0,NA,3/28/2018 23:39,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",MavenMerida,16645,TRUE,FALSE,NA,NA,Ohio
@Sarahchadwickk Pretty sure @IngrahamAngle attended Trump University #IngrahamAngle #GunReform #TrumpCrimeFamily,FALSE,0,Sarahchadwickk,3/28/2018 23:37,FALSE,9.79E+17,9.79E+17,1787201851,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pthorne1,0,FALSE,FALSE,NA,NA,United States
"RT @B52Malmet: Once you've been to #Parkland, once you've marched with hundreds of thousands for #GunReform - you want to keep doing all yo…",FALSE,0,NA,3/28/2018 23:35,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",costlylovewins,142,TRUE,FALSE,NA,NA,"Kansas City, MO"
RT @tonyfamilia: Me in 2004 carrying an M16A2 with an M203 grenade launcher. Should civilians also be allowed to have access to this weapon…,FALSE,0,NA,3/28/2018 23:34,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RayneMillaray,2231,TRUE,FALSE,NA,NA,Central NY
"RT @vip_cyp: Times gone by... when the pen was mightier than the sword...
#GunReform #GunControlNow
by Stahler https://t.co/ShGBzUdigT",FALSE,0,NA,3/28/2018 23:33,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",squeekyleaks,19,TRUE,FALSE,NA,NA,"Chicago, USA, Planet Earth"
"RT @B52Malmet: Once you've been to #Parkland, once you've marched with hundreds of thousands for #GunReform - you want to keep doing all yo…",FALSE,0,NA,3/28/2018 23:33,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",CarolK47,142,TRUE,FALSE,NA,NA,
"RT @B52Malmet: Once you've been to #Parkland, once you've marched with hundreds of thousands for #GunReform - you want to keep doing all yo…",FALSE,0,NA,3/28/2018 23:31,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",muffinboy10,142,TRUE,FALSE,NA,NA,"New York, USA"
"RT @Kelli_Rose: It’s been 6 weeks today since the #MSDShooting. 6 weeks of #ThoughtsAndPrayers

Congress has responded immediately to ALL o…",FALSE,0,NA,3/28/2018 23:30,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Wildfang135,80,TRUE,FALSE,NA,NA,New York City
"RT @ChangeTheRef: Register now to make a change!
-
#changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #thiscanbethenew…",FALSE,0,NA,3/28/2018 23:30,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AvilerED,27,TRUE,FALSE,NA,NA,"McPherson, KS"
"RT @ChangeTheRef: Register now to make a change!
-
#changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #thiscanbethenew…",FALSE,0,NA,3/28/2018 23:30,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",AmaralBritto,27,TRUE,FALSE,NA,NA,
"RT @SenFeinstein: I’m thankful for the opportunity yesterday to sit down with survivors, advocates and City Attorney Feur, who leads Prosec…",FALSE,0,NA,3/28/2018 23:27,FALSE,NA,9.79E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tomdebe810,121,TRUE,FALSE,NA,NA,
