gun,school,3289
school,gun,3162
gun,people,2595
people,gun,2342
gun,control,2126
control,gun,2094
shooting,gun,1900
gun,march,1893
high,school,1804
president,trump,1733
gun,shooting,1697
school,shooting,1675
school,people,1672
police,officers,1660
people,school,1616
high,gun,1606
shooting,school,1518
washington,gun,1500
violence,gun,1489
students,gun,1483
march,gun,1391
gun,saturday,1375
gun,students,1341
gun,high,1331
gun,washington,1323
gun,violence,1309
parkland,gun,1292
students,school,1270
trump,president,1234
school,high,1230
gun,guns,1227
guns,gun,1227
gun,florida,1201
officers,police,1197
gun,parkland,1194
school,march,1193
gun,year,1185
school,students,1180
bill,trump,1128
gun,rally,1116
trump,gun,1107
florida,gun,1105
saturday,gun,1098
gun,trump,1088
gun,laws,1081
trump,bill,1069
gun,last,1021
school,year,1012
year,gun,1007
gun,states,999
washington,school,973
sacramento,police,966
student,gun,945
last,gun,929
shooting,police,923
florida,school,921
shooting,people,921
school,washington,916
gun,lives,915
police,clark,911
trump,house,911
people,march,906
gun,support,900
march,school,898
support,gun,887
laws,gun,884
rally,gun,880
thousands,gun,879
clark,police,868
parkland,school,859
control,school,855
house,trump,854
school,control,854
president,gun,852
year,school,851
high,people,848
gun,old,846
gun,state,841
school,old,838
want,gun,838
lives,gun,837
people,shooting,826
gun,student,825
students,people,819
gun,thousands,816
percent,trump,814
march,people,806
school,florida,806
gun,rights,799
national,gun,796
percent,gun,796
police,shooting,794
gun,president,791
man,police,791
school,saturday,789
high,shooting,785
student,school,784
gun,month,783
violence,school,781
police,officer,780
school,want,780
washington,people,772
want,school,771
gun,many,769
gun,want,769
shooting,march,769
school,student,760
states,gun,759
control,people,757
gun,could,755
gun,change,754
gun,amendment,750
saturday,school,749
gun,held,745
gun,killed,741
trump,republican,741
state,gun,740
old,school,731
people,students,728
students,march,728
trump,white,727
school,parkland,722
gun,american,717
gun,city,716
police,sacramento,712
gun,across,704
time,gun,700
year,old,699
spending,trump,695
trump,spending,695
gun,weapons,693
background,gun,690
change,gun,690
douglas,gun,690
republican,trump,690
trump,democrats,690
gun,percent,685
people,high,685
gun,public,682
police,black,682
stoneman,gun,680
amendment,gun,677
country,gun,675
gun,police,675
p,gun,674
school,rally,671
first,gun,667
gun,make,666
douglas,school,665
rally,school,663
gun,background,662
black,police,661
school,last,661
shooting,officers,661
trump,trade,661
gun,shootings,660
gun,say,659
rights,gun,659
high,students,658
president,bill,657
stoneman,school,656
police,gun,655
shootings,gun,655
shooting,year,651
gun,rallies,643
people,washington,643
gun,time,640
month,gun,639
gun,law,638
gun,republican,638
gun,national,637
across,gun,636
police,man,636
mass,gun,635
second,gun,635
gun,stoneman,634
many,gun,634
